,AFF,AFF,Freq,OPEID,OPEID,Issues
628,UNIV SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA,1,#N/A,#N/A,
629,UNIV SOUTHAMPTON,UNIVERSITY OF SOUTHAMPTON,1,#N/A,#N/A,
155,UNIV SOUTHERN CALIF,UNIVERSITY OF SOUTHERN CALIF,4,#N/A,#N/A,
630,UNIV ST JOSEPH,UNIVERSITY OF ST JOSEPH,1,#N/A,#N/A,
631,UNIV TAMPA,UNIVERSITY OF TAMPA,1,#N/A,#N/A,
21,UNIV TENNESSEE,UNIVERSITY OF TENNESSEE,24,#N/A,#N/A,
18,UNIV TEXAS AUSTIN,UNIVERSITY OF TEXAS AUSTIN,25,#N/A,#N/A,
632,UNIV TEXAS DALLAS,UNIVERSITY OF TEXAS DALLAS,1,#N/A,#N/A,
26,UNIV TEXAS EL PASO,UNIVERSITY OF TEXAS EL PASO,22,#N/A,#N/A,
228,UNIV TEXAS HLTH SCI CTR HOUSTON,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,3,#N/A,#N/A,
633,UNIV TEXAS HLTH SCI CTR SAN ANTONIO,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,1,#N/A,#N/A,
81,UNIV TEXAS MD ANDERSON CANC CTR,UNIVERSITY OF TEXAS MD ANDERSON CANC CTR,7,#N/A,#N/A,
634,UNIV TEXAS MED BRANCH,UNIVERSITY OF TEXAS MED BRANCH,1,#N/A,#N/A,
61,UNIV TORONTO,UNIVERSITY OF TORONTO,9,#N/A,#N/A,
635,UNIV TORONTO MISSISSAUGA,UNIVERSITY OF TORONTO MISSISSAUGA,1,#N/A,#N/A,
156,UNIV UTRECHT,UNIVERSITY OF UTRECHT,4,#N/A,#N/A,
328,UNIV VIRGIN ISL,UNIVERSITY OF VIRGIN ISL,2,#N/A,#N/A,
157,UNIV VIRGINIA,UNIVERSITY OF VIRGINIA,4,#N/A,#N/A,
229,UNIV W FLORIDA,UNIVERSITY OF W FLORIDA,3,#N/A,#N/A,
4,UNIV WASHINGTON,UNIVERSITY OF WASHINGTON,74,#N/A,#N/A,"Tacoma: 379801, Bothell: 379802"
636,UNIV WASHINGTON BOTHELL,UNIVERSITY OF WASHINGTON BOTHELL,1,#N/A,#N/A,
637,UNIV WASHINGTON TACOMA,UNIVERSITY OF WASHINGTON TACOMA,1,#N/A,#N/A,
638,UNIV WEST FLORIDA,UNIVERSITY OF WEST FLORIDA,1,#N/A,#N/A,
639,UNIV WESTERN ONTARIO,UNIVERSITY OF WESTERN ONTARIO,1,#N/A,#N/A,
5,UNIV WISCONSIN,UNIVERSITY OF WISCONSIN,59,#N/A,#N/A,Madison: 389500 (listed Milwaukee for OPEID)
640,UNIV WISCONSIN EAU CLAIRE,UNIVERSITY OF WISCONSIN EAU CLAIRE,1,#N/A,#N/A,
62,UNIV WISCONSIN MADISON,UNIVERSITY OF WISCONSIN MADISON,9,#N/A,#N/A,
329,UNIV WISCONSIN STOUT,UNIVERSITY OF WISCONSIN STOUT,2,#N/A,#N/A,
642,VANDERBILT CTR TEACHING,VANDERBILT CTR TEACHING,1,#N/A,#N/A,
643,VICTORIA UNIV WELLINGTON,VICTORIA UNIVERSITY WELLINGTON,1,#N/A,#N/A,
645,VIRGINIA POLYTECH INST AND STATE UNIV,VIRGINIA POLYTECH INST AND STATE UNIVERSITY,1,#N/A,#N/A,
158,VIRGINIA TECH,VIRGINIA TECH,4,#N/A,#N/A,
331,W VIRGINIA UNIV,W VIRGINIA UNIVERSITY,2,#N/A,#N/A,
8,WASHINGTON UNIV,WASHINGTON UNIVERSITY,41,#N/A,#N/A,
648,WAUWATOSA WEST HIGH SCH,WAUWATOSA WEST HIGH SCH,1,#N/A,#N/A,
650,WEILL CORNELL MED COLL QATAR,WEILL CORNELL MED COLLEGE QATAR,1,#N/A,#N/A,
232,WEIZMANN INST SCI,WEIZMANN INST SCI,3,#N/A,#N/A,
652,WESTERN NORWAY UNIV APPL SCI,WESTERN NORWAY UNIVERSITY APPL SCI,1,#N/A,#N/A,
654,WHEATON COLL,WHEATON COLLEGE,1,#N/A,#N/A,
657,WILLIAM S MIDDLETON MEM VET ADM MED CTR,WILLIAM S MIDDLETON MEM VET ADM MED CTR,1,#N/A,#N/A,
658,WILLIAM S MIDDLETON VET HOSP,WILLIAM S MIDDLETON VET HOSP,1,#N/A,#N/A,
659,WISCONSIN CTR EDUC RES,WISCONSIN CTR EDUC RES,1,#N/A,#N/A,
660,WORCESTER STATE COLL,WORCESTER STATE COLLEGE,1,#N/A,#N/A,
100,WRIGHT STATE UNIV,WRIGHT STATE UNIVERSITY,6,#N/A,#N/A,
237,XAVIER UNIV LOUISIANA,XAVIER UNIVERSITY LOUISIANA,3,#N/A,#N/A,
337,AMER ASSOC ADVANCEMENT SCI,AMER ASSOC ADVANCEMENT SCI,1,,,
338,AMER ASSOC CANC RES,AMER ASSOC CANC RES,1,,,
