,AFF,AFF,Freq,OPEID,OPEID,Issues
202,NEW MEXICO HIGHLANDS UNIV,NEW MEXICO HIGHLANDS UNIVERSITY,3,00265300,265300,
375,CANISIUS COLL,CANISIUS COLLEGE,1,00268100,268100,
51,CUNY CITY COLL,CUNY CITY COLLEGE,10,00268800,268800,
348,BARNARD COLL,BARNARD COLLEGE,1,00270800,270800,
35,CORNELL UNIV,CORNELL UNIVERSITY,14,00271100,271100,
450,HARTWICK COLL,HARTWICK COLLEGE,1,00272900,272900,
266,HOFSTRA UNIV,HOFSTRA UNIVERSITY,2,00273200,273200,
500,MERCY COLL,MERCY COLLEGE,1,00277200,277200,
520,NIAGARA UNIV,NIAGARA UNIVERSITY,1,00278800,278800,
534,PACE UNIV,PACE UNIVERSITY,1,00279100,279100,
566,SKIDMORE COLL,SKIDMORE COLLEGE,1,00281400,281400,
304,ST BONAVENTURE UNIV,ST BONAVENTURE UNIVERSITY,2,00281700,281700,
212,SYRACUSE UNIV,SYRACUSE UNIVERSITY,3,00288200,288200,
49,UNIV ROCHESTER,UNIVERSITY OF ROCHESTER,11,00289400,289400,
230,VASSAR COLL,VASSAR COLLEGE,3,00289500,289500,
36,DAVIDSON COLL,DAVIDSON COLLEGE,14,00291800,291800,
14,DUKE UNIV,DUKE UNIVERSITY,29,00292000,292000,
426,ELON UNIV,ELON UNIVERSITY,1,00292700,292700,
185,HIGH POINT UNIV,HIGH POINT UNIVERSITY,3,00293300,293300,
187,JOHNSON C SMITH UNIV,JOHNSON C SMITH UNIVERSITY,3,00293600,293600,
231,WAKE FOREST UNIV,WAKE FOREST UNIVERSITY,3,00297800,297800,
651,WESTERN CAROLINA UNIV,WESTERN CAROLINA UNIVERSITY,1,00298100,298100,
169,CASE WESTERN RESERVE UNIV,CASE WESTERN RESERVE UNIVERSITY,3,00302400,302400,
176,DENISON UNIV,DENISON UNIVERSITY,3,00304200,304200,
456,HIRAM COLL,HIRAM COLLEGE,1,00304900,304900,
275,KENYON COLL,KENYON COLLEGE,2,00306500,306500,
74,OBERLIN COLL,OBERLIN COLLEGE,7,00308600,308600,
531,OHIO WESLEYAN UNIV,OHIO WESLEYAN UNIVERSITY,1,00310900,310900,
189,LANE COMMUNITY COLL,LANE COMMUNITY COLLEGE,3,00319600,319600,
282,MT HOOD COMMUNITY COLL,MT HOOD COMMUNITY COLLEGE,2,00320400,320400,
92,OREGON STATE UNIV,OREGON STATE UNIVERSITY,6,00321000,321000,
58,PORTLAND STATE UNIV,PORTLAND STATE UNIVERSITY,9,00321600,321600,
541,REED COLL,REED COLLEGE,1,00321700,321700,
618,UNIV OREGON,UNIVERSITY OF OREGON,1,00322300,322300,
326,UNIV PORTLAND,UNIVERSITY OF PORTLAND,2,00322400,322400,
335,ALBRIGHT COLL,ALBRIGHT COLLEGE,1,322900,322900,
241,ARCADIA UNIV,ARCADIA UNIVERSITY,2,00323500,323500,
85,BRYN MAWR COLL,BRYN MAWR COLLEGE,6,00323700,323700,
361,BUCKNELL UNIV,BUCKNELL UNIVERSITY,1,00323800,323800,
421,DUQUESNE UNIV,DUQUESNE UNIVERSITY,1,00325800,325800,
437,FRANKLIN AND MARSHALL COLL,FRANKLIN AND MARSHALL COLLEGE,1,00326500,326500,
454,HAVERFORD COLL,HAVERFORD COLLEGE,1,00327400,327400,
134,JUNIATA COLL,JUNIATA COLLEGE,4,00327900,327900,
489,LYCOMING COLL,LYCOMING COLLEGE,1,00329300,329300,
199,MORAVIAN COLL,MORAVIAN COLLEGE,3,00330100,330100,
284,MUHLENBERG COLL,MUHLENBERG COLLEGE,2,00330400,330400,
84,WIDENER UNIV,WIDENER UNIVERSITY,7,00331300,331300,
581,SUSQUEHANNA UNIV,SUSQUEHANNA UNIVERSITY,1,00336900,336900,
142,SWARTHMORE COLL,SWARTHMORE COLLEGE,4,00337000,337000,
332,WILKES UNIV,WILKES UNIVERSITY,2,00339400,339400,
50,BROWN UNIV,BROWN UNIVERSITY,10,00340100,340100,
172,CLEMSON UNIV,CLEMSON UNIVERSITY,3,00342500,342500,
253,COASTAL CAROLINA UNIV,COASTAL CAROLINA UNIVERSITY,2,00345100,345100,
333,WOFFORD COLL,WOFFORD COLLEGE,2,00345700,345700,
303,SOUTH DAKOTA STATE UNIV,SOUTH DAKOTA STATE UNIVERSITY,2,00347100,347100,
494,MARYVILLE COLL,MARYVILLE COLLEGE,1,00350500,350500,
611,UNIV MEMPHIS,UNIVERSITY OF MEMPHIS,1,00350900,350900,
57,MIDDLE TENNESSEE STATE UNIV,MIDDLE TENNESSEE STATE UNIVERSITY,9,00351000,351000,
589,UNION UNIV,UNION UNIVERSITY,1,00352800,352800,
19,VANDERBILT UNIV,VANDERBILT UNIVERSITY,25,00353500,353500,
344,AUSTIN COLL,AUSTIN COLLEGE,1,00354300,354300,
352,BAYLOR UNIV,BAYLOR UNIVERSITY,1,00354500,354500,
276,LAMAR UNIV,LAMAR UNIVERSITY,2,00358100,358100,
297,RICE UNIV,RICE UNIVERSITY,2,00360400,360400,
139,SAM HOUSTON STATE UNIV,SAM HOUSTON STATE UNIVERSITY,4,00360600,360600,
584,TEXAS WESLEYAN UNIV,TEXAS WESLEYAN UNIVERSITY,1,00364500,364500,
227,UNIV ST THOMAS,UNIVERSITY OF ST THOMAS,3,00365400,365400,
32,UNIV UTAH,UNIVERSITY OF UTAH,17,00367500,367500,
82,UTAH STATE UNIV,UTAH STATE UNIVERSITY,7,00367700,367700,
448,HAMPTON UNIV,HAMPTON UNIVERSITY,1,00371400,371400,
191,LONGWOOD UNIV,LONGWOOD UNIVERSITY,3,00371900,371900,
133,JAMES MADISON UNIV,JAMES MADISON UNIVERSITY,4,00372100,372100,
206,OLD DOMINION UNIV,OLD DOMINION UNIVERSITY,3,00372800,372800,
540,RADFORD UNIV,RADFORD UNIVERSITY,1,00373200,373200,
644,VIRGINIA COMMONWEALTH UNIV,VIRGINIA COMMONWEALTH UNIVERSITY,1,00373500,373500,
545,ROANOKE COLL,ROANOKE COLLEGE,1,00373600,373600,
309,SWEET BRIAR COLL,SWEET BRIAR COLLEGE,2,00374200,374200,
225,UNIV RICHMOND,UNIVERSITY OF RICHMOND,3,00374400,374400,
610,UNIV MARY WASHINGTON,UNIVERSITY OF MARY WASHINGTON,1,00374600,374600,
181,GEORGE MASON UNIV,GEORGE MASON UNIVERSITY,3,00374900,374900,
521,NORFOLK STATE UNIV,NORFOLK STATE UNIVERSITY,1,00376500,376500,
162,BELLEVUE COLL,BELLEVUE COLLEGE,3,00376900,376900,
130,EVERETT COMMUNITY COLL,EVERETT COMMUNITY COLLEGE,4,00377600,377600,
443,GONZAGA UNIV,GONZAGA UNIVERSITY,1,00377800,377800,
116,PACIFIC LUTHERAN UNIV,PACIFIC LUTHERAN UNIVERSITY,5,00378500,378500,
119,SEATTLE UNIV,SEATTLE UNIVERSITY,5,00379000,379000,
224,UNIV PUGET SOUND,UNIVERSITY OF PUGET SOUND,3,00379700,379700,
647,WALLA WALLA UNIV,WALLA WALLA UNIVERSITY,1,00379900,379900,
46,WASHINGTON STATE UNIV,WASHINGTON STATE UNIVERSITY,12,00380000,380000,
123,WESTERN WASHINGTON UNIV,WESTERN WASHINGTON UNIVERSITY,5,00380200,380200,
655,WHITMAN COLL,WHITMAN COLLEGE,1,00380300,380300,
493,MARSHALL UNIV,MARSHALL UNIVERSITY,1,00381500,381500,
83,WEST VIRGINIA UNIV,WEST VIRGINIA UNIVERSITY,7,00382700,382700,
125,BELOIT COLL,BELOIT COLLEGE,4,00383500,383500,
168,CARDINAL STRITCH UNIV,CARDINAL STRITCH UNIVERSITY,3,00383700,383700,
112,MARIAN UNIV,MARIAN UNIVERSITY,5,00386100,386100,
492,MARQUETTE UNIV,MARQUETTE UNIVERSITY,1,00386300,386300,
641,UNIV WYOMING,UNIVERSITY OF WYOMING,1,00393200,393200,
63,UTAH VALLEY UNIV,UTAH VALLEY UNIVERSITY,9,00402700,402700,
87,DE ANZA COLL,DE ANZA COLLEGE,6,00448000,448000,
447,HAMPSHIRE COLL,HAMPSHIRE COLLEGE,1,00466100,466100,
258,CUNY YORK COLL,CUNY YORK COLLEGE,2,00475900,475900,
178,EDMONDS COMMUNITY COLL,EDMONDS COMMUNITY COLLEGE,3,00500100,500100,
311,UNITY COLL,UNITY COLLEGE,2,00685800,685800,
280,MONTGOMERY COLL,MONTGOMERY COLLEGE,2,00691100,691100,
554,SAMUEL MERRITT UNIV,SAMUEL MERRITT UNIVERSITY,1,00701200,701200,
537,PIMA COMMUNITY COLL,PIMA COMMUNITY COLLEGE,1,00726600,726600,
179,FINGER LAKES COMMUNITY COLL,FINGER LAKES COMMUNITY COLLEGE,3,00753200,753200,
101,BETHEL UNIV,BETHEL UNIVERSITY,5,00905800,905800,
435,FRANCIS MARION UNIV,FRANCIS MARION UNIVERSITY,1,00922600,922600,
396,COLORADO CHRISTIAN UNIV,COLORADO CHRISTIAN UNIVERSITY,1,00940100,940100,
550,RUSH UNIV,RUSH UNIVERSITY,1,00980000,980000,
291,OAKTON COMMUNITY COLL,OAKTON COMMUNITY COLLEGE,2,00989600,989600,
